feedId,descr,trim_audio
16005,Cumberland County Fire and EMS,False
16013,Page Fire Dispatch,False
16014,Simsbury Fire Dispatch,False
16015,El Dorado and Amador Counties Public Safety,False
16019,Union and  North Dallam Counties Public Safety,False
16025,Montgomery County Public Safety,False
16027,"Sugar Land Police, Fire, and EMS",False
16038,Collinston Volunteer Fire Dispatch,False
16052,Coalgate Fire Dispatch,False
16053,Miami Volunteer Fire,False
16057,Rockland County Fire 1 - 44-Control,True
16060,Gray Fire Dispatch,False
16063,Manasquan Fire District 1 Dispatch,False
16067,Hamilton Fire,False
16068,Point Pleasant Beach Fire Dispatch,False
16071,Pelham Fire and EMS,False
16088,Rockland County UHF Fireground Tact 3,True
16089,Rockland County UHF Fireground Tact 1,True
16090,Rockland County UHF Fireground Tact 4 and New City Fire,True
16091,Rockland County UHF Fireground Tact 5,True
16092,Rockland County UHF Fireground Tact 6,True
16093,LIFE STAR Air Medical Service,False
16095,Rockland County UHF Fireground Tact 2,True
16104,"Warren County Sheriff, Fire and EMS Dispatch",False
16107,Pottsville Volunteer Fire Dispatch,False
16113,Lycoming County Fire and EMS Dispatch,True
16120,Dorchester County Fire and EMS ,False
16152,"Yarmouth Fire, Cumberland and Freeport Fire",False
16167,Albert City Fire,False
16188,South River First Aid,False
16194,Sayre Fire,False
16198,"Lanark County OPP and Fire, Kanata OPP",False
16207,Meadow Bridge Volunteer Fire,False
16235,North Scott Fire,False
16242,Colonial Heights City Fire and EMS,False
16265,Sioux Rapids Fire,False
16268,Lincoln Park Fire,False
16271,Keytesville Fire,False
16273,Arvada Fire and EMS,False
16284,Dickinson Rural Fire,False
16285,Dickinson Fire Dispatch,False
16286,"SouthHeart, Gladstone, Taylor, and Richardton Fire Dispatch",False
16287,Belfield Fire and Richardton Ambulance,False
16288,Dickinson Ambulance,False
16306,Clinton County Public Safety,False
16319,"Clinton County Sheriff and Fire, Clinton City Police",True
16320,Baird Volunteer Fire,False
16322,St Francois County Public Safety,False
16325,Berkeley Police and Fire,True
16364,"Del Norte County Sheriff, CCPD, Fire, EMS & CHP",True
16369,Beckville Volunteer Fire,False
16387,Turtle Fire,False
16398,Ryder Makoti Fire and Ambulance,False
16404,Visalia Fire,False
16405,Medfield Fire,False
16406,Plaza Fire and Ambulance,False
16411,Mt. Pleasant and Titus County Fire,False
16415,Orland Volunteer Fire,False
16427,Lost Acres Fire,False
16428,Saline County Fire Departments,True
16431,New Leipzig Fire,False
16436,Marshall County Fire and EMS,False
16438,Hokah Fire,False
16446,Forsyth County Sheriff Dispatch,False
16455,Linneus Fire,False
16465,Brewton Fire,False
